train/ent_coef,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/critic_loss,train/ent_coef_loss,time/episodes,train/n_updates,train/actor_loss,time/total_timesteps,rollout/ep_len_mean,train/learning_rate
0.07215405255556107,-18.50370746,2983,3,0.7885047197341919,-9.726362228393555,104,8964,-11.701822280883789,9065,86.84,0.0003
0.06593914330005646,-17.95276973,3051,3,1.460024118423462,-10.373130798339844,108,9289,-11.191514015197754,9390,86.19,0.0003
0.06011714041233063,-16.899101379999998,3123,3,0.4903187155723572,-10.115842819213867,112,9624,-11.014039993286133,9725,85.54,0.0003
0.05644385516643524,-15.85874193,3172,3,0.0775323212146759,-9.984057426452637,116,9851,-10.962727546691895,9952,83.81,0.0003
0.05208957940340042,-15.589017969999997,3233,3,0.6736316084861755,-10.268637657165527,120,10138,-10.521738052368164,10239,83.46,0.0003
0.048035625368356705,-14.73972272,3295,3,0.6195042133331299,-10.445858001708984,124,10429,-10.577171325683594,10530,82.37,0.0003
0.045623037964105606,-14.06766203,3336,3,0.0900331512093544,-10.547789573669434,128,10612,-10.297812461853027,10713,80.87,0.0003
0.04395582526922226,-13.16829038,3365,3,0.09694157540798187,-10.832082748413086,132,10743,-10.084064483642578,10844,78.18,0.0003
0.0400628000497818,-12.7011799,3435,3,0.9568737745285034,-11.230945587158203,136,11075,-9.888765335083008,11176,78.46,0.0003
0.03669608756899834,-12.02012281,3502,3,0.5876979827880859,-10.96364688873291,140,11395,-9.348031044006348,11496,77.66,0.0003
0.0337628610432148,-11.621501950000004,3567,3,0.45214977860450745,-10.663792610168457,144,11698,-9.08841609954834,11799,77.24,0.0003
0.03135299310088158,-11.334923840000002,3625,3,0.06016700714826584,-10.897375106811523,148,11966,-8.724966049194336,12067,76.51,0.0003
0.02950298972427845,-10.93463524,3673,3,0.08205866068601608,-10.072457313537598,152,12189,-8.639479637145996,12290,75.4,0.0003
0.027348367497324944,-10.525163480000002,3734,3,1.1311217546463013,-11.217859268188477,156,12474,-8.443120002746582,12575,74.25,0.0003
0.025648847222328186,-10.02326175,3786,3,0.9563840627670288,-10.77146053314209,160,12712,-8.206613540649414,12813,72.63,0.0003
0.024590542539954185,-9.58633517,3822,3,1.3771653175354004,-9.703938484191895,164,12869,-7.960982322692871,12970,71.17,0.0003
0.022971713915467262,-8.91652854,3876,3,0.33933424949645996,-9.557666778564453,168,13123,-7.780008792877197,13224,69.71,0.0003
0.020918596535921097,-8.85147248,3949,3,0.26042741537094116,-10.309233665466309,172,13467,-7.343264579772949,13568,69.67,0.0003
0.019401567056775093,-8.62924539,4007,3,0.05393587425351143,-11.651297569274902,176,13741,-7.145270347595215,13842,68.67,0.0003
0.017768224701285362,-8.48646979,4075,3,0.26786553859710693,-10.562759399414062,180,14061,-6.658358573913574,14162,68.63,0.0003
0.016344506293535233,-8.45257119,4143,3,0.21990756690502167,-9.924212455749512,184,14372,-6.474504470825195,14473,68.86,0.0003
0.015638364478945732,-8.32703377,4180,3,0.5636557936668396,-9.53423023223877,188,14535,-6.213067531585693,14636,68.1,0.0003
0.01469778548926115,-8.086585939999999,4232,3,0.14976249635219574,-9.134870529174805,192,14766,-6.1038713455200195,14867,67.18,0.0003
0.013477250002324581,-8.08938758,4306,3,0.1947557032108307,-8.636987686157227,196,15098,-5.798185348510742,15199,67.15,0.0003
0.012272668071091175,-8.15455315,4385,3,0.0652371495962143,-9.297405242919922,200,15454,-5.351224422454834,15555,67.31,0.0003
0.011137192137539387,-8.29314312,4468,3,0.1888163983821869,-8.596402168273926,204,15838,-5.108682155609131,15939,68.74,0.0003
0.010399880819022655,-8.267288019999999,4529,3,0.3426913917064667,-9.442331314086914,208,16112,-4.739622116088867,16213,68.23,0.0003
0.009723614901304245,-8.2134109,4587,3,0.11597585678100586,-7.247508525848389,212,16378,-4.515008449554443,16479,67.54,0.0003
0.009380906820297241,-8.09054676,4620,3,0.019599899649620056,-7.761915683746338,216,16525,-4.45092248916626,16626,66.74,0.0003
0.008657502010464668,-8.115812909999999,4688,3,0.10474234819412231,-8.702733039855957,220,16848,-4.064161777496338,16949,67.1,0.0003
0.008267358876764774,-8.06093947,4727,3,0.026591476052999496,-7.2738237380981445,224,17023,-3.8620738983154297,17124,65.94,0.0003
0.007454074919223785,-8.36483971,4811,3,0.09861590713262558,-8.584107398986816,228,17423,-3.6007158756256104,17524,68.11,0.0003
0.007005441002547741,-8.5291362,4865,3,0.028207900002598763,-7.945908546447754,232,17678,-3.367565393447876,17779,69.35,0.0003
0.006448386702686548,-8.55982979,4933,3,0.112396240234375,-9.007364273071289,236,17998,-3.0873517990112305,18099,69.23,0.0003
0.005933720618486404,-8.59298726,5003,3,0.01753145456314087,-6.69431209564209,240,18327,-2.8207478523254395,18428,69.32,0.0003
0.0054048351012170315,-8.75134289,5121,3,0.06272465735673904,-4.673776149749756,244,18714,-2.4415524005889893,18815,70.16,0.0003
0.005139636341482401,-8.63504486,5381,3,0.03285808116197586,-6.970852375030518,248,18918,-2.404771566390991,19019,69.52,0.0003
0.004732606932520866,-8.805523119999998,5826,3,0.05613819509744644,-6.284499645233154,252,19270,-2.0646119117736816,19371,70.81,0.0003
0.004561256151646376,-8.596479240000003,5900,3,0.016083555296063423,-5.931901931762695,256,19433,-1.9237103462219238,19534,69.59,0.0003
0.004293430130928755,-8.610823380000001,5960,3,0.0488719716668129,-2.887613296508789,260,19716,-1.794363260269165,19817,70.04,0.0003
0.004017374943941832,-8.765645840000001,6030,3,0.030139872804284096,-4.331696033477783,264,20049,-1.6282458305358887,20150,71.8,0.0003
0.0038439035415649414,-8.75113466,6072,3,0.018767938017845154,-2.809844493865967,268,20282,-1.3347268104553223,20383,71.59,0.0003
0.0036353939212858677,-8.67528195,6119,3,0.015451958402991295,-2.7050271034240723,272,20575,-1.2819972038269043,20676,71.08,0.0003
0.0034372261725366116,-8.706342000000001,6170,3,0.025446739047765732,-3.0269789695739746,276,20881,-1.028205156326294,20982,71.4,0.0003
0.0033077949192374945,-8.5805585,6206,3,0.018437810242176056,-2.9983580112457275,280,21100,-0.9609288573265076,21201,70.39,0.0003
0.003197931218892336,-8.451174260000002,6241,3,0.015216494910418987,-3.408839702606201,284,21309,-0.8672358989715576,21410,69.37,0.0003
0.0030741682276129723,-8.558560049999999,6280,3,0.009010180830955505,-2.826671838760376,288,21544,-0.643662691116333,21645,70.09,0.0003
0.0029684524051845074,-8.55713451,6314,3,0.011115801520645618,-2.3302228450775146,292,21753,-0.5457996129989624,21854,69.87,0.0003
0.0028414262924343348,-8.446514650000001,6357,3,0.01739475131034851,-1.7493528127670288,296,22009,-0.3550646901130676,22110,69.11,0.0003
0.0027552738320082426,-8.218601909999999,6389,3,0.010273071937263012,-1.8544509410858154,300,22200,-0.2935040593147278,22301,67.46,0.0003
0.0026770152617245913,-8.01271737,6422,3,0.008461914956569672,-0.4738750755786896,304,22397,-0.1959143728017807,22498,65.59,0.0003
0.002624083310365677,-7.755670919999999,6444,3,0.008700918406248093,-1.2205512523651123,308,22516,-0.14045456051826477,22617,64.04,0.0003
0.0025741069111973047,-7.575809770000001,6472,3,0.009799305349588394,-1.73460853099823,312,22681,-0.04153594747185707,22782,63.03,0.0003
0.0025159039068967104,-7.611064119999998,6503,3,0.011763747781515121,-1.817026138305664,316,22863,0.05916552245616913,22964,63.38,0.0003
