Wall time,Step,Value
1744473802.834917,45678,-4.44600772857666
1744473826.34058,45811,-4.381084442138672
1744473858.6256788,46001,-4.399776935577393
1744473888.3107107,46175,-4.313708782196045
1744473920.6802478,46370,-4.379881381988525
1744473942.5266457,46491,-4.240512847900391
1744473960.102648,46586,-4.079188346862793
1744473990.3236647,46762,-4.0360941886901855
1744474015.166394,46906,-4.03181791305542
1744474142.2015145,47064,-3.969832420349121
1744474313.4076355,47232,-3.9385790824890137
1744474525.4995427,47440,-3.934492588043213
1744474681.696716,47593,-3.9133431911468506
1744474859.1227558,47805,-3.868777275085449
1744474885.3426533,47955,-3.844132900238037
1744474912.6113298,48112,-3.8182060718536377
1744474940.6923668,48278,-3.6591992378234863
1744474969.0354004,48444,-3.682267427444458
1744474996.4843667,48605,-3.672908067703247
1744475029.8570724,48804,-3.8016622066497803
1744475061.1487381,48986,-3.846989154815674
1744475087.6541893,49134,-3.7750818729400635
1744475117.5932107,49311,-3.831857919692993
1744475149.2286453,49500,-3.8735268115997314
1744475247.387402,49655,-3.8371288776397705
1744475352.3673823,49832,-3.7105093002319336
