train/n_updates,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/ent_coef_loss,train/learning_rate,time/fps,train/critic_loss,train/ent_coef,rollout/ep_len_mean,train/actor_loss
11499,7982,-29.951781379999996,11600,116,-24.65673065185547,0.0003,1,0.09709383547306061,0.035112474113702774,100.0,-39.06112289428711
11899,8067,-29.6556037,12000,120,-23.63368034362793,0.0003,1,0.1317593902349472,0.031537868082523346,100.0,-38.18760681152344
12299,8150,-29.322382870000002,12400,124,-24.812894821166992,0.0003,1,0.11553987860679626,0.02835438773036003,100.0,-37.421600341796875
12699,8234,-29.228318870000003,12800,128,-25.16476821899414,0.0003,1,0.08279438316822052,0.025527913123369217,100.0,-36.57638931274414
13099,8319,-28.958126300000004,13200,132,-22.50637435913086,0.0003,1,0.09065363556146622,0.023041529580950737,100.0,-35.75845718383789
13499,8406,-28.683923030000003,13600,136,-22.04152488708496,0.0003,1,0.09250631928443909,0.020814834162592888,100.0,-35.1512336730957
13899,8490,-28.394633119999998,14000,140,-18.936220169067383,0.0003,1,0.12312525510787964,0.018796540796756744,100.0,-34.358116149902344
14299,8577,-28.22998018,14400,144,-22.65835189819336,0.0003,1,0.09579934179782867,0.017027825117111206,100.0,-33.17510223388672
14699,8662,-28.23792694,14800,148,-21.079477310180664,0.0003,1,0.09495218098163605,0.015438420698046684,100.0,-32.38543701171875
15099,8747,-27.88050671,15200,152,-17.14643669128418,0.0003,1,0.10379210859537125,0.014030136168003082,100.0,-32.09861755371094
15499,8832,-27.418996829999998,15600,156,-16.586647033691406,0.0003,1,0.09312174469232559,0.012781091965734959,100.0,-31.29336929321289
15899,8917,-27.095949549999997,16000,160,-13.580738067626953,0.0003,1,0.09032391011714935,0.011670864187180996,100.0,-30.687498092651367
16299,9002,-27.12942065,16400,164,-13.071739196777344,0.0003,1,0.09441416710615158,0.0106948958709836,100.0,-30.27130126953125
16699,9087,-27.40846388,16800,168,-13.910472869873047,0.0003,1,0.1014922708272934,0.009868454188108444,100.0,-28.95319938659668
17099,9172,-27.39574688,17200,172,-4.4419755935668945,0.0003,1,0.10976459085941315,0.00916212610900402,100.0,-28.539981842041016
17499,9256,-27.455677880000003,17600,176,-5.306336402893066,0.0003,1,0.07824742048978806,0.00858256220817566,100.0,-28.254812240600586
17899,9340,-27.490707170000004,18000,180,-1.9681415557861328,0.0003,1,0.12068471312522888,0.008076473139226437,100.0,-27.676048278808594
18299,9423,-27.610636149999994,18400,184,-6.565203666687012,0.0003,1,0.09861065447330475,0.007652717176824808,100.0,-26.992944717407227
18699,9643,-27.655151529999994,18800,188,-2.0143589973449707,0.0003,1,0.10984861105680466,0.0073498948477208614,100.0,-26.694271087646484
19099,10149,-27.679830040000002,19200,192,1.6396361589431763,0.0003,1,0.09323951601982117,0.00714584905654192,100.0,-25.76172637939453
19499,10553,-27.851541930000003,19600,196,-4.339962959289551,0.0003,1,0.07673580944538116,0.007020053919404745,100.0,-24.813077926635742
19899,10957,-28.08522885,20000,200,0.14482079446315765,0.0003,1,0.09854598343372345,0.006935069337487221,100.0,-24.420286178588867
20299,11361,-28.30237322,20400,204,-2.164132595062256,0.0003,1,0.11186113953590393,0.006991088390350342,100.0,-24.190792083740234
20699,11766,-28.426530370000005,20800,208,-0.31791868805885315,0.0003,1,0.1110624372959137,0.007192028220742941,100.0,-23.21123695373535
21052,12122,-28.630506909999998,21153,212,2.9311678409576416,0.0003,1,0.11136505007743835,0.007456513587385416,99.53,-23.05194664001465
21452,12527,-29.03052154,21553,216,0.863513708114624,0.0003,1,0.10485662519931793,0.007484351750463247,99.53,-22.46720314025879
21852,12931,-29.44165424,21953,220,-3.050065517425537,0.0003,1,0.09315064549446106,0.007184511516243219,99.53,-21.395771026611328
22252,13335,-29.79676845,22353,224,-0.4195379614830017,0.0003,1,0.07225082814693451,0.007023777347058058,99.53,-21.233631134033203
22652,13738,-30.02436883,22753,228,-3.8055474758148193,0.0003,1,0.08871370553970337,0.006955234333872795,99.53,-20.22085952758789
23052,14143,-30.296751339999997,23153,232,0.11118203401565552,0.0003,1,0.09848611056804657,0.006904096808284521,99.53,-19.58794403076172
23452,14508,-30.46510064,23553,236,-0.5051080584526062,0.0003,1,0.0839281678199768,0.006789378356188536,99.53,-19.503480911254883
23852,14572,-30.59766687,23953,240,-1.4655619859695435,0.0003,1,0.07008376717567444,0.006779459770768881,99.53,-18.52794647216797
24252,14637,-30.629252540000003,24353,244,0.5199109315872192,0.0003,1,0.09143554419279099,0.0066936141811311245,99.53,-17.956851959228516
24652,14702,-30.668884909999996,24753,248,-2.3116209506988525,0.0003,1,0.07187192142009735,0.0062873936258256435,99.53,-17.359264373779297
25052,14766,-30.99710676,25153,252,0.27790749073028564,0.0003,1,0.06107739731669426,0.006046518683433533,99.53,-16.717432022094727
25384,14820,-31.01136929,25485,256,-0.6482261419296265,0.0003,1,0.07253017276525497,0.005781322252005339,98.85,-16.2007999420166
25784,15062,-31.19922842,25885,260,1.4248239994049072,0.0003,1,0.08369563519954681,0.005617768038064241,98.85,-15.615262985229492
26184,15466,-31.303014629999993,26285,264,-0.31477493047714233,0.0003,1,0.06442029029130936,0.00554689159616828,98.85,-15.048574447631836
26584,15869,-31.172916050000005,26685,268,-0.2586519122123718,0.0003,1,0.06282374262809753,0.0053684464655816555,98.85,-14.280455589294434
26984,16273,-31.06582317,27085,272,-0.6166359186172485,0.0003,1,0.06996503472328186,0.0051412517204880714,98.85,-13.886345863342285
27384,16677,-31.122920800000006,27485,276,-1.4058889150619507,0.0003,1,0.06017712503671646,0.0051409476436674595,98.85,-12.987168312072754
27784,17080,-31.181955869999996,27885,280,1.478126883506775,0.0003,1,0.04846567660570145,0.0050704386085271835,98.85,-12.560925483703613
28184,17484,-31.34235667,28285,284,-0.45837557315826416,0.0003,1,0.050936259329319,0.004943571984767914,98.85,-11.867767333984375
28584,17887,-31.38213254,28685,288,-2.9219818115234375,0.0003,1,0.039159201085567474,0.004821505397558212,98.85,-11.27351188659668
28984,18293,-31.407048380000003,29085,292,-2.308816432952881,0.0003,1,0.05861346796154976,0.004688548389822245,98.85,-10.724451065063477
29384,18697,-31.20544844,29485,296,0.7065521478652954,0.0003,1,0.39705604314804077,0.004534910898655653,98.85,-9.961996078491211
29784,19101,-31.033047360000005,29885,300,-0.9006311893463135,0.0003,1,0.04804673790931702,0.004372527357190847,98.85,-9.577096939086914
30184,19504,-30.8344105,30285,304,0.10470318794250488,0.0003,1,0.04760444164276123,0.004329636227339506,98.85,-8.831867218017578
30537,19862,-30.631849609999996,30638,308,-2.189225196838379,0.0003,1,0.38138070702552795,0.004254338331520557,98.38,-8.357634544372559
30937,20265,-30.64336276,31038,312,-2.9977705478668213,0.0003,1,0.04870705306529999,0.004104921128600836,98.85,-7.8933916091918945
31337,20670,-30.40557215,31438,316,0.1593153476715088,0.0003,1,0.05073091387748718,0.003948036581277847,98.85,-7.35457181930542
31737,21074,-29.798068240000003,31838,320,1.0481599569320679,0.0003,1,0.03989257290959358,0.003887139493599534,98.85,-6.667745590209961
32137,21477,-29.340301539999995,32238,324,0.822574257850647,0.0003,1,0.04083871841430664,0.00374539103358984,98.85,-6.4274725914001465
32537,21881,-29.046083680000002,32638,328,-0.7035645842552185,0.0003,1,0.033805906772613525,0.003605146426707506,98.85,-5.809589862823486
32937,22286,-28.758231499999997,33038,332,1.5751116275787354,0.0003,1,0.04625244438648224,0.0035045798867940903,98.85,-5.403291702270508
33337,22691,-28.437358070000002,33438,336,-2.1067655086517334,0.0003,1,0.03499466925859451,0.0034807692281901836,98.85,-5.008597373962402
33737,23096,-28.205484230000003,33838,340,0.4034084379673004,0.0003,1,0.040050528943538666,0.0033401111140847206,98.85,-4.114367961883545
34137,23500,-27.94006123,34238,344,-1.5322613716125488,0.0003,1,0.03381228446960449,0.0032512603793293238,98.85,-3.911391019821167
