rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/learning_rate,train/ent_coef,train/n_updates,time/fps,train/critic_loss,time/total_timesteps,time/episodes
90.0,68,7.438248634338379,12.4588623046875,-17.683156500000003,0.0003,0.004178626462817192,100158,5,0.017398912459611893,360,4
88.125,141,7.619762420654297,13.124143600463867,-19.304370875000004,0.0003,0.004437343683093786,100503,4,0.024017013609409332,705,8
86.75,197,6.781001091003418,7.9511518478393555,-17.691336583333335,0.0003,0.004693303722888231,100839,5,0.019330423325300217,1041,12
83.9375,247,6.53227424621582,7.45408296585083,-16.85459125,0.0003,0.004926570225507021,101141,5,0.02647027000784874,1343,16
81.65,296,6.43332052230835,5.455015182495117,-15.92049035,0.0003,0.005114533472806215,101431,5,0.05177741125226021,1633,20
82.20833333333333,353,6.107496738433838,6.353438377380371,-15.322176374999998,0.0003,0.005366242956370115,101771,5,0.032868776470422745,1973,24
82.35714285714286,409,6.206776142120361,-1.0223140716552734,-14.85394964285714,0.0003,0.005454635713249445,102104,5,0.08349025249481201,2306,28
84.5625,485,6.10906457901001,4.875339984893799,-16.24901321875,0.0003,0.005672946106642485,102504,5,0.05080815404653549,2706,32
86.22222222222223,903,5.373999118804932,3.495488166809082,-16.582546194444447,0.0003,0.006044947542250156,102902,3,0.15421825647354126,3104,36
87.6,1341,5.099920272827148,1.4411633014678955,-16.4117838,0.0003,0.006357708014547825,103302,2,0.039671845734119415,3504,40
87.22727272727273,1414,4.530024528503418,0.801830530166626,-16.336746295454546,0.0003,0.006603213492780924,103636,2,0.14551213383674622,3838,44
87.0,1486,4.0998215675354,3.5673141479492188,-16.969113708333335,0.0003,0.007062226999551058,103974,2,0.03705163300037384,4176,48
88.0,1571,4.166305065155029,0.9703537225723267,-18.29094626923077,0.0003,0.007554527837783098,104374,2,0.055669188499450684,4576,52
87.76785714285714,1646,3.7252140045166016,1.5166511535644531,-18.57428475,0.0003,0.008031368255615234,104713,2,0.07828772813081741,4915,56
88.58333333333333,1732,3.6725473403930664,0.31279632449150085,-18.8576433,0.0003,0.008390570059418678,105113,3,0.07464514672756195,5315,60
89.296875,1818,3.1467363834381104,-0.21285393834114075,-19.35931821875,0.0003,0.0085220318287611,105513,3,0.04050979018211365,5715,64
89.92647058823529,1905,2.84822678565979,1.2946592569351196,-19.779875147058824,0.0003,0.008805968798696995,105913,3,0.036809325218200684,6115,68
90.48611111111111,1992,2.440615177154541,-0.7546550631523132,-20.073856513888888,0.0003,0.008877518586814404,106313,3,0.0683399960398674,6515,72
90.25,2066,2.551252603530884,-1.880641222000122,-20.119500552631575,0.0003,0.008659182116389275,106657,3,0.037773825228214264,6859,76
90.7375,2152,1.7890485525131226,-1.2603081464767456,-20.216936049999997,0.0003,0.008557720109820366,107057,3,0.04065026342868805,7259,80
90.28571428571429,2221,1.6548073291778564,-0.1340884417295456,-19.938746369047617,0.0003,0.008749350905418396,107382,3,0.04698152095079422,7584,84
90.27272727272727,2403,1.161115288734436,0.37312304973602295,-19.792897806818186,0.0003,0.009017289616167545,107742,3,0.04125036299228668,7944,88
90.69565217391305,2907,0.81162029504776,-0.03290283679962158,-20.151949880434785,0.0003,0.009234394878149033,108142,2,0.039938535541296005,8344,92
90.48958333333333,3341,0.9007561802864075,-0.8997486233711243,-20.219313,0.0003,0.00935469102114439,108485,2,0.045936278998851776,8687,96
90.73,3830,0.9602326154708862,-0.4705798029899597,-20.23844084,0.0003,0.009012195281684399,108871,2,0.1263369470834732,9073,100
91.13,4334,0.6065042018890381,2.4715003967285156,-20.48138767,0.0003,0.008691655471920967,109271,2,0.040179409086704254,9473,104
91.68,4839,0.7453678846359253,0.2050701379776001,-20.58498646,0.0003,0.008696663193404675,109671,2,0.05528073012828827,9873,108
92.32,5344,0.2586791515350342,-2.496630907058716,-20.918490780000003,0.0003,0.008351352997124195,110071,1,0.04592059552669525,10273,112
92.77,5784,0.1952981948852539,-0.3422055244445801,-21.007007629999997,0.0003,0.008149838075041771,110418,1,0.04511681944131851,10620,116
93.87,6289,0.22710759937763214,0.4102238416671753,-21.44238091,0.0003,0.007912401109933853,110818,1,0.042137257754802704,11020,120
94.47,6793,0.47361433506011963,0.12748049199581146,-21.95853531,0.0003,0.007541736122220755,111218,1,0.03594450652599335,11420,124
94.73,7247,0.30017733573913574,0.38092976808547974,-22.230796169999998,0.0003,0.007387152872979641,111577,1,0.03271528333425522,11779,128
94.73,7753,0.6534579396247864,-0.2967761754989624,-22.18765006,0.0003,0.007078568451106548,111977,1,0.044883981347084045,12179,132
94.51,8227,0.4629141688346863,-2.6260595321655273,-22.19332339999999,0.0003,0.006675923243165016,112353,1,0.0724107027053833,12555,136
94.51,8732,0.6764646172523499,0.37960919737815857,-22.28481312,0.0003,0.006290305405855179,112753,1,0.03596974536776543,12955,140
94.92,9206,0.9955164194107056,3.108180522918701,-22.649293939999996,0.0003,0.006124819163233042,113128,1,0.03794774040579796,13330,144
95.54,9710,0.7835395336151123,-1.0040614604949951,-22.68716033,0.0003,0.00582316005602479,113528,1,0.04254278168082237,13730,148
94.72,10115,0.7414497137069702,0.91621333360672,-21.84332659,0.0003,0.005548097658902407,113846,1,0.09613922238349915,14048,152
95.33,10618,1.5075191259384155,1.5943117141723633,-21.899499529999993,0.0003,0.005361851304769516,114246,1,0.057116422802209854,14448,156
94.84,11050,1.3137657642364502,0.5229825973510742,-21.73914812,0.0003,0.005259249359369278,114597,1,0.04573556035757065,14799,160
