rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,train/learning_rate,time/episodes,train/actor_loss,train/ent_coef,time/fps,train/ent_coef_loss,time/time_elapsed,rollout/ep_len_mean,train/n_updates
-22.127461750000002,0.10046946257352829,362,0.0003,4,-4.636577129364014,0.9248993992805481,5,-0.393123596906662,66,90.5,261
-23.643220375,0.19730472564697266,762,0.0003,8,-6.3032145500183105,0.8203223347663879,5,-1.0027079582214355,148,95.25,661
-20.6924185,0.43714675307273865,1052,0.0003,12,-7.6240692138671875,0.7519825100898743,5,-1.4349058866500854,195,87.66666666666667,951
-20.906177687499998,0.350713312625885,1452,0.0003,16,-9.441245079040527,0.6670016646385193,5,-2.0459039211273193,260,90.75,1351
-20.43127775,0.3733317255973816,1777,0.0003,20,-10.623461723327637,0.6051366329193115,5,-2.5203323364257812,312,88.85,1676
-19.696523,0.10275836288928986,2046,0.0003,24,-11.492571830749512,0.5583407878875732,5,-2.9189937114715576,356,85.25,1945
-19.5830935,0.26739391684532166,2350,0.0003,28,-12.382519721984863,0.5098668336868286,5,-3.3817286491394043,407,83.92857142857143,2249
-19.868455,0.33673134446144104,2747,0.0003,32,-13.22641372680664,0.45291680097579956,5,-3.9515843391418457,473,85.84375,2646
-19.974048166666666,0.19303759932518005,3131,0.0003,36,-13.674777030944824,0.4040309488773346,5,-4.464743614196777,540,86.97222222222223,3030
-19.9296251,0.8119235038757324,3531,0.0003,40,-13.702995300292969,0.3588951528072357,5,-4.980890274047852,625,88.275,3430
-19.775827409090905,0.22373227775096893,3931,0.0003,44,-14.164732933044434,0.318909615278244,5,-5.476316452026367,710,89.3409090909091,3830
-19.825931770833332,0.19646257162094116,4331,0.0003,48,-14.465410232543945,0.28359758853912354,5,-6.094544410705566,795,90.22916666666667,4230
-19.910214,0.41128456592559814,4731,0.0003,52,-14.386096954345703,0.252248615026474,5,-6.445981025695801,881,90.98076923076923,4630
-19.707833267857144,0.23034325242042542,5131,0.0003,56,-14.401434898376465,0.2244284600019455,5,-6.774744987487793,965,91.625,5030
-19.684415133333335,0.15142464637756348,5531,0.0003,60,-14.610636711120605,0.19976164400577545,5,-7.403264999389648,1051,92.18333333333334,5430
-19.66437784375,0.21807408332824707,5931,0.0003,64,-14.0223388671875,0.1778000146150589,5,-7.992524147033691,1136,92.671875,5830
-19.513798897058823,0.12145119905471802,6331,0.0003,68,-14.101075172424316,0.1582554280757904,5,-8.312573432922363,1221,93.1029411764706,6230
-19.550150166666665,0.10361675918102264,6731,0.0003,72,-13.975422859191895,0.14083698391914368,5,-8.828804016113281,1306,93.48611111111111,6630
-19.436206763157895,0.11799114942550659,7131,0.0003,76,-13.786515235900879,0.1253347098827362,5,-9.047880172729492,1391,93.82894736842105,7030
-19.23093055,0.1532834768295288,7531,0.0003,80,-13.330665588378906,0.11151918023824692,5,-9.410669326782227,1477,94.1375,7430
-19.022445702380953,0.10909059643745422,7931,0.0003,84,-13.314638137817383,0.09924241900444031,5,-10.148797035217285,1565,94.41666666666667,7830
-18.957510499999998,0.07123718410730362,8331,0.0003,88,-12.896573066711426,0.08828241378068924,5,-10.305727005004883,1651,94.67045454545455,8230
-18.836842130434782,0.07135041058063507,8731,0.0003,92,-12.409968376159668,0.07854297757148743,5,-10.42588996887207,1736,94.90217391304348,8630
-18.70400140625,0.05970754474401474,9065,0.0003,96,-12.374211311340332,0.07124961912631989,5,-11.335770606994629,1810,94.42708333333333,8964
-18.49811621,0.05287206172943115,9465,0.0003,100,-11.797281265258789,0.06339993327856064,4,-10.94877815246582,1896,94.65,9364
-18.196735320000002,0.15310025215148926,9865,0.0003,104,-11.431156158447266,0.05639481171965599,4,-11.448569297790527,1981,95.03,9764
-17.651801,0.03869834169745445,10228,0.0003,108,-11.139324188232422,0.05072634294629097,4,-11.963533401489258,2058,94.66,10127
-17.66814863,0.04783163219690323,10628,0.0003,112,-10.547453880310059,0.04517122358083725,4,-12.341387748718262,2146,95.76,10527
-17.20537136,0.05292516201734543,10934,0.0003,116,-10.350395202636719,0.04136113449931145,4,-12.439534187316895,2211,94.82,10833
-16.91862188,0.038096293807029724,11311,0.0003,120,-10.043725967407227,0.03712823987007141,4,-12.679054260253906,2293,95.34,11210
-16.767105450000003,0.025768009945750237,11672,0.0003,124,-9.463822364807129,0.033489860594272614,4,-12.931962966918945,2370,96.26,11571
-16.541472560000003,0.028945622965693474,12072,0.0003,128,-9.09235954284668,0.029890108853578568,4,-13.136151313781738,2456,97.22,11971
-16.119885919999998,0.026023022830486298,12377,0.0003,132,-8.8352689743042,0.027434002608060837,4,-12.552980422973633,2521,96.3,12276
-15.67187989,0.02671045809984207,12652,0.0003,136,-8.538013458251953,0.025408850982785225,4,-12.184101104736328,2581,95.21,12551
-15.284451630000001,0.03438906371593475,12985,0.0003,140,-8.470893859863281,0.023172564804553986,4,-12.308982849121094,2653,94.54,12884
-14.922821560000003,0.026114363223314285,13231,0.0003,144,-7.9397053718566895,0.021653825417160988,4,-12.411566734313965,2708,93.0,13130
-14.524575239999999,0.021475739777088165,13587,0.0003,148,-7.79167366027832,0.019655823707580566,4,-12.641300201416016,2786,92.56,13486
-13.98708562,0.023281963542103767,13837,0.0003,152,-7.430700302124023,0.01837395876646042,4,-11.152262687683105,2840,91.06,13736
-13.54533596,0.02895321324467659,14067,0.0003,156,-7.07039213180542,0.01727801188826561,4,-10.785365104675293,2891,89.36,13966
-13.166759509999999,0.023607060313224792,14370,0.0003,160,-6.890117645263672,0.01594511605799198,4,-11.017694473266602,2957,88.39,14269
