train/actor_loss,time/time_elapsed,train/critic_loss,train/n_updates,time/total_timesteps,train/ent_coef_loss,rollout/ep_len_mean,time/fps,train/ent_coef,train/learning_rate,rollout/ep_rew_mean,time/episodes
-37.66200637817383,11039,0.13618306815624237,11861,11962,-21.06179428100586,99.62,1,0.03260542452335358,0.0003,-30.12382608,120
-37.070945739746094,11545,0.1298111081123352,12261,12362,-20.121530532836914,99.62,1,0.02956078201532364,0.0003,-30.049762680000004,124
-36.11890411376953,12049,6.0731964111328125,12661,12762,-19.055213928222656,99.62,1,0.026819152757525444,0.0003,-30.078998779999996,128
-35.32992172241211,12551,0.1767129898071289,13061,13162,-17.109817504882812,99.62,1,0.024391982704401016,0.0003,-29.899852120000002,132
-35.120361328125,13057,0.127964049577713,13461,13562,-15.800233840942383,99.62,1,0.022267211228609085,0.0003,-29.528115439999993,136
-33.93655776977539,13561,0.1260949820280075,13861,13962,-15.418330192565918,99.62,1,0.020316053181886673,0.0003,-29.368222530000004,140
-33.48479461669922,14067,0.1493077129125595,14261,14362,-15.053730010986328,99.62,1,0.01864994876086712,0.0003,-29.27093495,144
-33.2454948425293,14571,0.2825792133808136,14661,14762,-9.488349914550781,99.62,1,0.01719323918223381,0.0003,-29.1451193,148
-32.12941360473633,15077,0.13945269584655762,15061,15162,-11.032424926757812,99.62,1,0.015907926484942436,0.0003,-29.025409179999997,152
-31.77769660949707,15582,0.13228578865528107,15461,15562,-7.3979811668396,99.62,0,0.014780478551983833,0.0003,-28.95680656,156
-31.03821563720703,16086,0.20213474333286285,15861,15962,-5.602334976196289,99.62,0,0.013763335533440113,0.0003,-28.706976980000004,160
-30.619670867919922,16591,0.16734039783477783,16261,16362,-6.232873439788818,99.62,0,0.012831274420022964,0.0003,-28.567593299999995,164
-29.949281692504883,17064,0.11740627884864807,16634,16735,-6.303588390350342,99.49,0,0.012038202956318855,0.0003,-28.688126679999996,168
-29.19193458557129,17569,0.09847450256347656,17034,17135,-3.2286386489868164,99.49,0,0.01122694555670023,0.0003,-28.695930139999994,172
-28.21996307373047,18036,0.10846874862909317,17434,17535,-2.581193208694458,99.49,0,0.0106322867795825,0.0003,-28.67764932,176
-27.990673065185547,18440,0.11665268987417221,17834,17935,1.019210934638977,99.49,0,0.010156052187085152,0.0003,-28.862778370000004,180
-27.139371871948242,18844,0.12149053812026978,18234,18335,-2.409956455230713,99.49,0,0.009875558316707611,0.0003,-29.03870411000001,184
-26.26363754272461,19248,0.09415212273597717,18634,18735,-2.6013846397399902,99.49,0,0.00968834850937128,0.0003,-29.30626626,188
-25.848371505737305,19652,0.10231122374534607,19034,19135,-2.8739984035491943,99.49,0,0.009404940530657768,0.0003,-29.38614524,192
-25.231107711791992,20056,0.12385281920433044,19434,19535,-0.3160358667373657,99.49,0,0.00912273395806551,0.0003,-29.47820872,196
-24.364774703979492,20460,0.08815997838973999,19834,19935,-1.1956266164779663,99.49,0,0.008835596032440662,0.0003,-29.654576089999996,200
-23.931467056274414,20863,0.06853868067264557,20234,20335,-1.2998278141021729,99.49,0,0.008579199202358723,0.0003,-29.718311040000003,204
-23.16818618774414,21267,0.08868154883384705,20634,20735,0.7060123085975647,99.73,0,0.008305512368679047,0.0003,-29.85534186,208
-22.744712829589844,21671,0.11100418865680695,21034,21135,-1.8514628410339355,99.73,0,0.00814706739038229,0.0003,-30.01448299,212
-21.97539710998535,22075,0.11226992309093475,21434,21535,-1.6889491081237793,99.73,0,0.008063378743827343,0.0003,-30.388019170000003,216
-21.493087768554688,22479,0.07654756307601929,21834,21935,-3.114691734313965,99.73,0,0.007911816239356995,0.0003,-31.011534089999994,220
-20.813091278076172,22883,0.07726390659809113,22234,22335,0.16043227910995483,99.73,0,0.007681353949010372,0.0003,-31.2331528,224
-20.342336654663086,23287,0.1160607784986496,22634,22735,-0.9377373456954956,99.73,0,0.007282759062945843,0.0003,-31.46458799,228
-19.780813217163086,23691,0.05617957189679146,23034,23135,1.1559377908706665,99.73,0,0.007077147718518972,0.0003,-31.62518143,232
-18.964191436767578,24095,0.06958909332752228,23434,23535,-0.8202430605888367,99.73,0,0.006936842110008001,0.0003,-31.849508810000003,236
-18.64036750793457,24499,0.08150723576545715,23834,23935,1.3297605514526367,99.73,0,0.006715775933116674,0.0003,-31.905298239999997,240
-17.759458541870117,24903,0.06996308267116547,24234,24335,2.462944269180298,99.73,0,0.006626564543694258,0.0003,-31.96384175,244
-16.96011734008789,25307,0.07042890042066574,24634,24735,-0.5572050213813782,99.73,0,0.0064195082522928715,0.0003,-32.00851331,248
-16.34037208557129,25711,0.053056880831718445,25034,25135,-1.898752212524414,99.73,0,0.006473829038441181,0.0003,-32.21315286,252
-15.847562789916992,26115,0.07695074379444122,25434,25535,-1.9424896240234375,99.73,0,0.006265772972255945,0.0003,-32.178868179999995,256
-15.407516479492188,26520,0.05802156776189804,25834,25935,-2.170851707458496,99.73,0,0.00603256281465292,0.0003,-32.35495734999999,260
-14.713717460632324,26923,0.05321180447936058,26234,26335,0.10080423951148987,99.73,0,0.005762636661529541,0.0003,-32.563307769999994,264
-14.056289672851562,27327,0.06534302979707718,26634,26735,-4.157262802124023,100.0,0,0.005597315263003111,0.0003,-32.753769919999996,268
-13.649697303771973,27731,0.10758966952562332,27034,27135,3.621100902557373,100.0,0,0.005502229556441307,0.0003,-32.64733482,272
-13.070600509643555,28135,0.05172153562307358,27434,27535,-0.35968518257141113,100.0,0,0.005484027788043022,0.0003,-32.703669610000006,276
-12.245487213134766,28539,0.1158737763762474,27834,27935,-4.853084564208984,100.0,0,0.005386778153479099,0.0003,-32.73324411,280
-11.733375549316406,28942,0.05012694373726845,28234,28335,2.173497438430786,100.0,0,0.005255904980003834,0.0003,-32.69437741,284
-11.208942413330078,29346,0.0499112531542778,28634,28735,-0.9267370700836182,100.0,0,0.005060342140495777,0.0003,-32.423611789999995,288
-10.512516021728516,29751,0.07692940533161163,29034,29135,1.0427794456481934,100.0,0,0.004963507875800133,0.0003,-31.931057720000002,292
-9.949831008911133,30155,0.05440761148929596,29434,29535,-3.94633150100708,100.0,0,0.00472404807806015,0.0003,-31.446834340000006,296
-9.288291931152344,30559,0.05015666037797928,29834,29935,1.8650257587432861,100.0,0,0.00465146079659462,0.0003,-31.27834962,300
-8.79737663269043,30963,0.057564131915569305,30234,30335,-3.6075563430786133,100.0,0,0.004583215340971947,0.0003,-31.17976757,304
-8.507558822631836,31367,0.04718222841620445,30634,30735,-2.1026811599731445,100.0,0,0.0045066457241773605,0.0003,-31.084462159999998,308
-7.984651565551758,31771,0.05033009871840477,31034,31135,-1.9750609397888184,100.0,0,0.0044699544087052345,0.0003,-30.68036643,312
-7.3663811683654785,32175,0.052526626735925674,31434,31535,-1.841428518295288,100.0,0,0.004411419853568077,0.0003,-30.290474919999998,316
-6.7613372802734375,32579,0.041534267365932465,31834,31935,-0.16189688444137573,100.0,0,0.00429392559453845,0.0003,-29.929203270000002,320
-6.238401412963867,32983,0.049212511628866196,32234,32335,-0.6535657644271851,100.0,0,0.004113554488867521,0.0003,-29.577271910000004,324
-5.839474678039551,33387,0.039981525391340256,32634,32735,-2.3750431537628174,100.0,0,0.0039284988306462765,0.0003,-29.140443599999998,328
-5.661776542663574,33791,0.05594615265727043,33034,33135,3.469592332839966,100.0,0,0.003889078740030527,0.0003,-28.57558982,332
-5.018768787384033,34197,0.044205158948898315,33434,33535,4.489676475524902,100.0,0,0.003871372202411294,0.0003,-28.266516279999998,336
-4.554936408996582,34562,0.043584056198596954,33794,33895,-3.3327488899230957,99.6,0,0.0037561256904155016,0.0003,-27.86218656,340
-4.094173431396484,34965,0.05006685107946396,34194,34295,1.0639801025390625,99.6,0,0.003731700126081705,0.0003,-27.747088870000002,344
-3.854471206665039,35369,0.042968448251485825,34594,34695,-0.3712671995162964,99.6,0,0.0037343844305723906,0.0003,-27.40181386,348
-3.429450511932373,35773,0.053563036024570465,34994,35095,0.7470844388008118,99.6,0,0.0035673680249601603,0.0003,-27.100241769999997,352
-3.110748291015625,36177,0.049110718071460724,35394,35495,0.705211877822876,99.6,0,0.003457216080278158,0.0003,-26.849096199999995,356
-2.7215993404388428,36580,0.0457494743168354,35794,35895,-1.592836856842041,99.6,0,0.0034756858367472887,0.0003,-26.567370119999996,360
-2.1501991748809814,36984,0.044719018042087555,36194,36295,2.4082858562469482,99.6,0,0.003490534145385027,0.0003,-26.18263395,364
-1.9331902265548706,37388,0.036084771156311035,36594,36695,0.43416696786880493,99.6,0,0.003528780536726117,0.0003,-25.811983099999992,368
-1.6318227052688599,37792,0.0395469069480896,36994,37095,-0.22335386276245117,99.6,0,0.0034766222815960646,0.0003,-25.491761079999993,372
-1.3825520277023315,38196,0.04895555227994919,37394,37495,-2.105647087097168,99.6,0,0.003405269468203187,0.0003,-24.96075329,376
-0.7603203058242798,38557,0.03988715633749962,37751,37852,0.4628591537475586,99.17,0,0.0033585974015295506,0.0003,-24.44316407,380
-0.38670220971107483,38961,0.046284958720207214,38151,38252,0.4618532657623291,99.17,0,0.003323629265651107,0.0003,-24.073836110000002,384
-0.3437296748161316,39366,0.0336238294839859,38551,38652,-1.072082757949829,99.17,0,0.0032541328109800816,0.0003,-24.091061760000006,388
0.28870418667793274,39769,0.04031411558389664,38951,39052,-3.8889732360839844,99.17,0,0.003199378727003932,0.0003,-23.95902808,392
0.4844878315925598,40173,0.042705751955509186,39351,39452,3.497586965560913,99.17,0,0.00317945284768939,0.0003,-23.97513917,396
0.942233681678772,40577,0.03155515342950821,39751,39852,-3.6497764587402344,99.17,0,0.003199203172698617,0.0003,-23.425172370000006,400
1.274961233139038,40864,0.03502105921506882,40034,40135,2.4006662368774414,98.0,0,0.003160115098580718,0.0003,-22.67511231,404
1.5076096057891846,41270,0.04079332947731018,40434,40535,0.14386412501335144,98.0,0,0.0031550757121294737,0.0003,-22.285145799999995,408
1.7464561462402344,41659,0.030324071645736694,40820,40921,-2.776183843612671,97.86,0,0.003157408442348242,0.0003,-22.13535401,412
2.0650174617767334,42063,0.03915812820196152,41220,41321,-1.610827922821045,97.86,0,0.003177027916535735,0.0003,-21.80960957,416
2.054124355316162,42411,0.03152114152908325,41564,41665,1.5193700790405273,97.3,0,0.003118123160675168,0.0003,-21.24110418,420
2.537060499191284,42817,0.046531885862350464,41964,42065,0.8372592926025391,97.3,0,0.003091994905844331,0.0003,-21.041698819999997,424
2.7605507373809814,43222,0.04690384119749069,42364,42465,1.193224549293518,97.3,0,0.0031053698621690273,0.0003,-20.77053275,428
3.1116244792938232,43427,0.038608796894550323,42764,42865,2.8184823989868164,97.3,0,0.0030806749127805233,0.0003,-20.786402890000005,432
3.4998228549957275,43492,0.04130755364894867,43164,43265,0.9522716999053955,97.3,0,0.0030921469442546368,0.0003,-20.341336669999997,436
3.395811080932617,43548,0.03343508765101433,43496,43597,-0.5678720474243164,97.02,1,0.0031537730246782303,0.0003,-20.1812337,440
3.712615489959717,43612,0.036733295768499374,43896,43997,1.7169766426086426,97.02,1,0.00318877212703228,0.0003,-19.79234027,444
4.116461277008057,43678,0.03301195055246353,44296,44397,-0.9522343873977661,97.02,1,0.003158214036375284,0.0003,-19.81360769,448
4.117947101593018,43744,0.04991910606622696,44696,44797,-0.43202370405197144,97.02,1,0.003192822216078639,0.0003,-19.67570868,452
4.591357707977295,43808,0.04142969474196434,45096,45197,2.4803342819213867,97.02,1,0.003165320958942175,0.0003,-19.585782130000002,456
4.766628265380859,44063,0.06290554255247116,45437,45538,0.6368675231933594,96.43,1,0.0031667023431509733,0.0003,-19.259786700000003,460
4.8470611572265625,44468,0.04651358723640442,45837,45938,0.42163461446762085,96.43,1,0.0031842836178839207,0.0003,-18.85764533,464
4.864205360412598,44830,0.046833500266075134,46195,46296,1.3919050693511963,96.01,1,0.0031979235354810953,0.0003,-18.649210859999997,468
5.406487464904785,45181,0.031016632914543152,46542,46643,0.18992170691490173,95.48,1,0.0032480836380273104,0.0003,-18.25049783,472
5.3783183097839355,45585,0.0445173978805542,46942,47043,-0.5031021237373352,95.48,1,0.003261387348175049,0.0003,-18.004757190000003,476
