train/ent_coef,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed,train/n_updates,train/learning_rate,train/actor_loss,train/ent_coef_loss
0.8732416033744812,33.531028747558594,-1972.5171285000001,559,4,139.75,4,119,458,0.0003,26.974334716796875,-0.6484199166297913
0.6807428002357483,915.2894287109375,-2594.5784992500003,1467,8,183.375,5,284,1366,0.0003,72.02894592285156,-1.4839473962783813
0.5223692655563354,20.92064094543457,-2866.8079526666666,2467,12,205.58333333333334,4,502,2366,0.0003,125.44232177734375,-2.0980043411254883
0.4142712950706482,898.78369140625,-2954.2075494375003,3399,16,212.4375,4,708,3298,0.0003,172.31578063964844,-2.1450438499450684
0.3802528977394104,957.4623413085938,-2627.7137181500007,3768,20,188.4,4,799,3667,0.0003,186.97125244140625,-2.2647290229797363
0.3286691904067993,1017.4156494140625,-2549.8386925,4422,24,184.25,3,1207,4321,0.0003,219.5387725830078,-2.198714017868042
0.28189581632614136,1764.0145263671875,-2530.8464075357147,5148,28,183.85714285714286,3,1480,5047,0.0003,248.13555908203125,-1.9088134765625
0.2713695764541626,952.2049560546875,-2288.5317113125,5335,32,166.71875,3,1528,5234,0.0003,260.5057678222656,-1.8284006118774414
0.24031610786914825,74.74654388427734,-2216.094531944445,5965,36,165.69444444444446,3,1677,5864,0.0003,271.7471923828125,-1.3939515352249146
0.23504534363746643,55.422210693359375,-2029.8556674749998,6093,40,152.325,3,1709,5992,0.0003,281.8934326171875,-0.7042198181152344
0.23146378993988037,220.4751739501953,-1866.5289855454541,6190,44,140.6818181818182,3,1736,6089,0.0003,288.1981506347656,-1.185807466506958
0.21815675497055054,461.8258972167969,-1820.2644624375,6607,48,137.64583333333334,3,1838,6506,0.0003,303.0438232421875,-0.8780034780502319
0.21581707894802094,224.28883361816406,-1694.7074170384617,6689,52,128.6346153846154,3,1861,6588,0.0003,305.4673156738281,-1.086349368095398
0.21389168500900269,1260.547119140625,-1586.1209040357141,6761,56,120.73214285714286,3,1881,6660,0.0003,305.7040710449219,-0.4791743755340576
0.2092648446559906,314.8909912109375,-1516.208484016667,6972,60,116.2,3,1934,6871,0.0003,313.4566955566406,-0.5342596769332886
0.20825543999671936,222.02328491210938,-1431.78533140625,7023,64,109.734375,3,1949,6922,0.0003,307.89666748046875,-0.30816811323165894
0.206117182970047,289.8913879394531,-1411.666291632353,7354,68,108.1470588235294,3,2037,7253,0.0003,318.05560302734375,-0.7244351506233215
0.20579977333545685,3131.109375,-1336.9313340694446,7383,72,102.54166666666667,3,2077,7282,0.0003,315.2695007324219,0.4689916968345642
0.2054022252559662,113.60200500488281,-1272.1244391184212,7428,76,97.73684210526316,3,2136,7327,0.0003,316.3818054199219,-0.3017081022262573
0.20359265804290771,2876.541015625,-1243.2403735875,7641,80,95.5125,3,2406,7540,0.0003,323.2156677246094,0.3664608597755432
0.20344707369804382,2073.370361328125,-1191.192924690476,7697,84,91.63095238095238,3,2481,7596,0.0003,319.4754333496094,-0.06215141341090202
0.20379561185836792,2332.6728515625,-1149.6910742500002,7869,88,89.42045454545455,2,2697,7768,0.0003,324.0071716308594,-0.1726355254650116
0.20382481813430786,1336.1282958984375,-1112.3074787934784,7971,92,86.6413043478261,2,2826,7870,0.0003,323.45147705078125,0.378696084022522
0.20927125215530396,1905.454345703125,-1110.6400170312502,8320,96,86.66666666666667,2,3266,8219,0.0003,336.5447998046875,0.15667195618152618
0.21066643297672272,2118.271728515625,-1074.4973788300001,8397,100,83.97,2,3367,8296,0.0003,346.625244140625,0.3504398465156555
0.21173906326293945,1313.168701171875,-1001.45241754,8444,104,78.85,2,3427,8343,0.0003,332.88861083984375,0.28026506304740906
0.2135157585144043,577.1475219726562,-881.3767805799997,8506,108,70.39,2,3507,8405,0.0003,329.6356201171875,-0.32344716787338257
0.21927028894424438,383.6478271484375,-769.4512122399999,8704,112,62.37,2,3760,8603,0.0003,316.30303955078125,0.44507378339767456
0.22322288155555725,508.9877014160156,-655.6228011799999,8846,116,54.47,2,3942,8745,0.0003,331.31805419921875,0.5928358435630798
0.2246137410402298,1641.6129150390625,-605.4274956699999,8876,120,51.08,2,3983,8775,0.0003,320.4341125488281,0.3393095135688782
0.22616076469421387,714.1030883789062,-522.4932039600001,8915,124,44.93,2,4038,8814,0.0003,326.8310241699219,0.6625832319259644
0.23036430776119232,233.23822021484375,-434.94147291,8987,128,38.39,2,4131,8886,0.0003,332.4263916015625,-0.10517153143882751
0.23305854201316833,1625.016357421875,-416.69850785999995,9040,132,37.05,2,4201,8939,0.0003,332.54058837890625,0.6225648522377014
0.23556680977344513,1558.01708984375,-356.47803727999997,9092,136,31.27,2,4270,8991,0.0003,316.8298645019531,0.47688040137290955
0.24094687402248383,3040.605712890625,-353.30628636999995,9174,140,30.81,2,4376,9073,0.0003,326.3412780761719,0.08229993283748627
0.24524319171905518,1406.4810791015625,-353.44473904000006,9230,144,30.4,2,4452,9129,0.0003,328.6565856933594,1.2156152725219727
0.2488723248243332,947.1639404296875,-305.10576472,9271,148,26.64,2,4506,9170,0.0003,329.52264404296875,0.4703945219516754
0.2520480155944824,2513.7431640625,-302.48015240000007,9311,152,26.22,2,4558,9210,0.0003,321.0884094238281,0.6559112668037415
0.25571754574775696,2479.2734375,-301.21380024,9353,156,25.92,2,4614,9252,0.0003,313.26605224609375,0.8445651531219482
0.2592931389808655,701.120361328125,-285.54798952000004,9387,160,24.15,2,4661,9286,0.0003,316.9603271484375,1.238194465637207
