Wall time,Step,Value
1744569526.8339996,28415,-5.199787616729736
1744569557.41461,28594,-5.131007194519043
1744569586.195306,28747,-4.926095485687256
1744569613.408736,28894,-4.823902130126953
1744569641.8818057,29047,-4.694125652313232
1744569680.2319753,29270,-4.717120170593262
1744569709.2397156,29429,-4.521674633026123
1744569736.235558,29578,-4.469276428222656
1744569774.106698,29791,-4.567026138305664
1744569812.0600977,30004,-4.536689758300781
1744569839.0433865,30151,-4.4056525230407715
1744569875.161351,30364,-4.518414497375488
1744569915.6412094,30602,-4.5807905197143555
1744569940.5833464,30742,-4.40151309967041
1744569969.9138777,30911,-4.477544784545898
1744569997.7090075,31070,-4.409423828125
1744570025.9304814,31230,-4.3051934242248535
1744570054.4094832,31391,-4.296122074127197
1744570087.7263567,31583,-4.353150844573975
1744570113.222355,31730,-4.083385944366455
1744570160.123434,32010,-4.15024995803833
1744570198.4445283,32233,-4.1469340324401855
1744570230.0318644,32421,-4.24163818359375
1744570256.6004627,32573,-4.214446067810059
1744570285.384419,32738,-4.192298412322998
1744570322.6846347,32959,-4.212859153747559
1744570348.0381713,33099,-4.163769721984863
1744570368.9673011,33210,-4.119958877563477
1744570456.182095,33434,-4.270064353942871
1744570481.8195438,33584,-4.3116326332092285
1744570506.379038,33716,-4.19252872467041
1744570670.2916703,33874,-4.197474002838135
1744570854.3594115,34054,-4.2713093757629395
1744570985.37147,34181,-4.158838748931885
1744571152.5719478,34345,-4.135055065155029
1744571295.5708902,34484,-4.120146751403809
1744571471.5698256,34656,-4.049118995666504
1744571572.29424,34752,-3.8878235816955566
1744571733.6142812,34909,-3.9621198177337646
1744571941.459767,35113,-3.9889354705810547
1744572100.5722234,35269,-3.9573278427124023
1744572254.4776323,35418,-3.9189558029174805
1744572386.3235495,35546,-3.88771390914917
1744572542.5164208,35698,-3.8399715423583984
1744572819.3127828,35971,-4.015615463256836
1744572961.4065309,36109,-3.8485372066497803
1744573177.399588,36321,-3.8404102325439453
1744573305.4155624,36445,-3.762815475463867
1744573470.3030589,36606,-3.803344488143921
1744573630.5836508,36763,-3.8730626106262207
1744573793.3330255,36921,-3.817678213119507
1744574009.3206258,37133,-3.962327480316162
1744574144.5698345,37265,-3.968198537826538
1744574300.3181043,37416,-3.8386151790618896
1744574443.6349685,37555,-3.8212854862213135
1744574581.3019075,37689,-3.814096689224243
1744574713.2870305,37817,-3.8054566383361816
1744574863.3203092,37963,-3.710237503051758
1744575015.4219234,38111,-3.75467586517334
1744575173.472599,38265,-3.725369453430176
1744575306.3749278,38394,-3.7186412811279297
1744575458.621008,38542,-3.6662044525146484
1744575666.3547366,38746,-3.7345969676971436
1744575770.7082427,38846,-3.6542396545410156
1744575900.2645948,38972,-3.572448968887329
1744576057.3677857,39125,-3.586670160293579
1744576209.3177876,39273,-3.580970048904419
1744576366.5693538,39427,-3.6044204235076904
1744576537.4587986,39594,-3.6446521282196045
1744576625.414374,39679,-3.458529233932495
