time/fps,train/ent_coef,train/actor_loss,time/time_elapsed,time/total_timesteps,train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,time/episodes,train/learning_rate,train/n_updates,rollout/ep_rew_mean
1,0.0962318554520607,-43.50758743286133,4140,7998,0.23569676280021667,-23.62175750732422,99.975,80,0.0003,7897,-35.5002967375
1,0.08589892834424973,-43.058799743652344,4225,8398,0.11825935542583466,-24.295032501220703,99.97619047619048,84,0.0003,8297,-35.57716067857143
2,0.07669401168823242,-42.304176330566406,4311,8798,0.13948450982570648,-24.291698455810547,99.97727272727273,88,0.0003,8697,-35.359323079545455
2,0.06850957125425339,-41.77684020996094,4397,9198,0.10890866816043854,-25.631624221801758,99.97826086956522,92,0.0003,9097,-35.30490629347827
2,0.061299074441194534,-40.98617172241211,4482,9598,6.522121429443359,-25.41093635559082,99.97916666666667,96,0.0003,9497,-35.17054759375001
2,0.05495206639170647,-40.18531036376953,4567,9998,0.33540356159210205,-24.370311737060547,99.98,100,0.0003,9897,-34.92493280000001
2,0.04933275654911995,-39.59690475463867,4653,10398,0.11226341873407364,-26.14598846435547,99.98,104,0.0003,10297,-34.716171470000006
2,0.04437950253486633,-38.67961120605469,4740,10798,0.1379239857196808,-23.977746963500977,99.98,108,0.0003,10697,-34.63187105
2,0.039926107972860336,-37.923282623291016,4824,11198,0.10779109597206116,-22.42856216430664,99.98,112,0.0003,11097,-34.32915517000001
2,0.03598492965102196,-37.37507629394531,4908,11598,0.13034193217754364,-23.81485366821289,99.98,116,0.0003,11497,-34.1518547
2,0.03247600048780441,-36.572330474853516,4994,11998,0.11203692108392715,-20.866178512573242,99.98,120,0.0003,11897,-33.73255194
2,0.029313476756215096,-35.613555908203125,5079,12398,0.12184585630893707,-19.375490188598633,99.98,124,0.0003,12297,-33.79957884
2,0.026512540876865387,-34.27602005004883,5163,12798,0.12367971241474152,-21.207740783691406,99.98,128,0.0003,12697,-33.42620405
2,0.024007782340049744,-33.93759536743164,5249,13198,0.10870733112096786,-19.350366592407227,99.98,132,0.0003,13097,-33.18693527
2,0.021742291748523712,-32.97056579589844,5334,13598,0.11476579308509827,-16.66761016845703,99.98,136,0.0003,13497,-32.729728720000004
2,0.019703568890690804,-31.999258041381836,5419,13998,0.09838676452636719,-17.27524757385254,99.98,140,0.0003,13897,-32.54550304
2,0.017908530309796333,-31.1148681640625,5505,14398,0.11054287850856781,-16.447486877441406,99.98,144,0.0003,14297,-32.55473739999999
2,0.016300112009048462,-30.784339904785156,5590,14798,0.07798241078853607,-16.664155960083008,99.98,148,0.0003,14697,-32.47887427
2,0.014838865958154202,-29.72446060180664,5676,15198,0.14338086545467377,-14.646336555480957,99.98,152,0.0003,15097,-32.13337902
2,0.013558861799538136,-28.89178466796875,5760,15598,0.1069314181804657,-13.104360580444336,99.98,156,0.0003,15497,-32.05981265
2,0.012413456104695797,-28.069393157958984,5845,15998,0.13514003157615662,-9.166423797607422,99.98,160,0.0003,15897,-32.04797110999999
2,0.01141524501144886,-27.302871704101562,5932,16398,0.08881652355194092,-10.614215850830078,99.98,164,0.0003,16297,-31.808962649999998
2,0.01056573074311018,-26.498397827148438,6017,16798,0.10912841558456421,-9.575291633605957,99.98,168,0.0003,16697,-31.661614389999997
