time/time_elapsed,train/ent_coef,rollout/ep_len_mean,train/critic_loss,time/episodes,rollout/ep_rew_mean,train/actor_loss,train/learning_rate,time/total_timesteps,train/ent_coef_loss,train/n_updates,time/fps
18405,0.0019188739825040102,51.81,0.011986646801233292,388,-5.100493470000001,2.0049118995666504,0.0003,29795,2.3241007328033447,29694,1
18439,0.0019877750892192125,50.48,0.011606186628341675,392,-4.919461340000001,2.0193371772766113,0.0003,29999,0.8031164407730103,29898,1
18466,0.002023867564275861,49.55,0.026903407648205757,396,-4.761918260000001,1.9610627889633179,0.0003,30151,-0.8028528094291687,30050,1
18493,0.002031733514741063,48.23,0.046144999563694,400,-4.58432266,1.97208571434021,0.0003,30309,-0.09005124121904373,30208,1
18521,0.0020452241878956556,47.06,0.015327002853155136,404,-4.44290705,2.0402143001556396,0.0003,30466,-1.5927821397781372,30365,1
18548,0.0020987552125006914,46.38,0.027286365628242493,408,-4.335698750000001,2.1062231063842773,0.0003,30613,0.2873348891735077,30512,1
18577,0.0021358777303248644,45.39,0.016509640961885452,412,-4.20937821,2.1360037326812744,0.0003,30782,0.03677870333194733,30681,1
18616,0.0021583503112196922,44.89,0.015994194895029068,416,-4.11679597,2.1845626831054688,0.0003,31012,1.4735052585601807,30911,1
18646,0.002196274697780609,44.94,0.037355657666921616,420,-4.11480303,2.23591947555542,0.0003,31187,0.7692257165908813,31086,1
18674,0.0022463540080934763,44.7,0.04662242531776428,424,-4.0807756699999995,2.230175495147705,0.0003,31344,0.04910918325185776,31243,1
18827,0.0022572847083210945,44.78,0.03811900317668915,428,-4.08143246,2.227522373199463,0.0003,31526,-0.08345222473144531,31425,1
18965,0.002276696963235736,44.53,0.028508059680461884,432,-4.052145329999999,2.295525074005127,0.0003,31685,0.08441151678562164,31584,1
18995,0.0023203345481306314,44.29,0.0352955088019371,436,-4.01992085,2.324247360229492,0.0003,31850,2.1125106811523438,31749,1
19022,0.002355901524424553,44.45,0.008678028360009193,440,-4.033031719999999,2.247249126434326,0.0003,32008,0.1361001431941986,31907,1
19050,0.002384529449045658,44.32,0.06435650587081909,444,-3.979308730000001,2.241987943649292,0.0003,32170,-1.0869364738464355,32069,1
19081,0.0024008890613913536,43.99,0.030060304328799248,448,-3.9394127100000005,2.3238227367401123,0.0003,32348,-0.10074608027935028,32247,1
19116,0.00243868725374341,43.95,0.009180301800370216,452,-3.9380048700000003,2.398861885070801,0.0003,32556,-0.755348265171051,32455,1
19145,0.0024611353874206543,43.91,0.04217911139130592,456,-3.9293183999999997,2.2877883911132812,0.0003,32721,-0.832115113735199,32620,1
19174,0.002489388920366764,43.44,0.01025568787008524,460,-3.846948010000001,2.3960208892822266,0.0003,32894,0.19284959137439728,32793,1
19208,0.002512997481971979,43.31,0.02467982843518257,464,-3.8098445600000006,2.3203015327453613,0.0003,33098,0.4834900498390198,32997,1
19238,0.0025401755701750517,43.25,0.012030621990561485,468,-3.8207682999999997,2.331263542175293,0.0003,33255,-0.5402902364730835,33154,1
19276,0.0025751530192792416,43.61,0.021175295114517212,472,-3.8485818700000003,2.3650405406951904,0.0003,33461,0.40383023023605347,33360,1
19308,0.0025787262711673975,43.75,0.03193167597055435,476,-3.87319982,2.3168277740478516,0.0003,33641,0.3932328522205353,33540,1
19351,0.0026263478212058544,44.73,0.009507758542895317,480,-4.041558939999999,2.4346489906311035,0.0003,33898,1.3586676120758057,33797,1
19384,0.002659302670508623,44.41,0.026290910318493843,484,-4.026380069999999,2.4838004112243652,0.0003,34076,1.138566493988037,33975,1
19441,0.0027145484928041697,46.19,0.08290784806013107,488,-4.24821618,2.470362663269043,0.0003,34414,-1.284890055656433,34313,1
19467,0.002715127309784293,45.6,0.035813331604003906,492,-4.16473579,2.590942144393921,0.0003,34559,0.1573207676410675,34458,1
19503,0.0027769075240939856,46.24,0.02705121412873268,496,-4.2650039799999995,2.4846689701080322,0.0003,34775,-0.3946748971939087,34674,1
19529,0.002796662040054798,46.15,0.029382117092609406,500,-4.259311460000001,2.4754438400268555,0.0003,34924,-0.2953430414199829,34823,1
19557,0.0028155928011983633,46.23,0.050899937748909,504,-4.28435593,2.4178028106689453,0.0003,35089,1.5219414234161377,34988,1
19593,0.002846494084224105,46.86,0.08776888251304626,508,-4.383959980000001,2.629786491394043,0.0003,35299,0.5227658152580261,35198,1
19630,0.002905612112954259,47.38,0.022247232496738434,512,-4.447586140000001,2.42144513130188,0.0003,35520,-0.100314661860466,35419,1
19659,0.002936161356046796,46.67,0.017940957099199295,516,-4.346462270000001,2.3869125843048096,0.0003,35679,0.6252613067626953,35578,1
19698,0.002979101613163948,47.27,0.018567819148302078,520,-4.40292855,2.5117342472076416,0.0003,35914,0.4343550503253937,35813,1
19730,0.0029919068329036236,47.52,0.04033713787794113,524,-4.46579006,2.5204553604125977,0.0003,36096,1.176706075668335,35995,1
19767,0.00304450374096632,47.96,0.021060075610876083,528,-4.54868357,2.5245156288146973,0.0003,36322,-2.2625019550323486,36221,1
19803,0.003095293417572975,48.46,0.02105693146586418,532,-4.61032331,2.677798271179199,0.0003,36531,0.09304358065128326,36430,1
19831,0.003114892402663827,48.44,0.021869167685508728,536,-4.606070279999999,2.602357864379883,0.0003,36694,0.47736674547195435,36593,1
19868,0.00311585352756083,49.01,0.03009255975484848,540,-4.66579856,2.629983901977539,0.0003,36909,-0.232066810131073,36808,1
19913,0.0030802900437265635,50.12,0.030328983440995216,544,-4.8103386,2.4860358238220215,0.0003,37182,-0.41111281514167786,37081,1
19945,0.003125346964225173,50.16,0.05220207944512367,548,-4.823856500000001,2.474221706390381,0.0003,37364,0.0791083574295044,37263,1
19971,0.003127089701592922,49.64,0.057943195104599,552,-4.76013924,2.4608936309814453,0.0003,37520,-0.8069373369216919,37419,1
19999,0.003135249251499772,49.57,0.040941983461380005,556,-4.745979589999999,2.5841684341430664,0.0003,37678,1.0772292613983154,37577,1
20035,0.0031937723979353905,49.95,0.030462101101875305,560,-4.816802629999999,2.60268235206604,0.0003,37889,-0.289657324552536,37788,1
20071,0.003173509147018194,50.07,0.04074331000447273,564,-4.87022172,2.493250608444214,0.0003,38105,-0.19887703657150269,38004,1
20099,0.0031448318623006344,50.07,0.027163490653038025,568,-4.84433984,2.557252883911133,0.0003,38262,-0.5369187593460083,38161,1
20125,0.0031313826330006123,49.5,0.057365186512470245,572,-4.775495930000001,2.6006126403808594,0.0003,38411,-0.48638153076171875,38310,1
20150,0.003130924189463258,49.09,0.0764748752117157,576,-4.674872570000001,2.498119831085205,0.0003,38550,-0.11117768287658691,38449,1
20179,0.003154764184728265,48.17,0.03616485744714737,580,-4.520856490000001,2.682765245437622,0.0003,38715,0.3315380811691284,38614,1
20216,0.003216762328520417,48.52,0.06421145796775818,584,-4.54164987,2.537966728210449,0.0003,38928,-1.4739969968795776,38827,1
20252,0.0031738830730319023,47.22,0.019527722150087357,588,-4.35537364,2.531398296356201,0.0003,39136,-0.2807665169239044,39035,1
20286,0.00320840603671968,47.75,0.021846376359462738,592,-4.45054174,2.6129982471466064,0.0003,39334,1.5570193529129028,39233,1
20324,0.0032428607810288668,47.86,0.03551102429628372,596,-4.46022888,2.6550469398498535,0.0003,39561,1.3955566883087158,39460,1
20349,0.0032590911723673344,47.79,0.022642914205789566,600,-4.456799139999999,2.596221685409546,0.0003,39703,-1.5539240837097168,39602,1
20385,0.003304410260170698,48.27,0.01319858804345131,604,-4.48828698,2.591000556945801,0.0003,39916,1.6142058372497559,39815,1
20413,0.0033104412723332644,47.78,0.05048545449972153,608,-4.423231550000001,2.621819019317627,0.0003,40077,-2.4882853031158447,39976,1
20449,0.003285059705376625,47.72,0.013720467686653137,612,-4.41777015,2.5640647411346436,0.0003,40292,-0.6187452673912048,40191,1
20487,0.0033118543215095997,48.39,0.060573287308216095,616,-4.5212002,2.5416948795318604,0.0003,40518,-0.2855559289455414,40417,1
20522,0.0033456310629844666,48.13,0.053555428981781006,620,-4.472140759999999,2.7144687175750732,0.0003,40727,1.6202713251113892,40626,1
20548,0.0033574525732547045,47.8,0.016293145716190338,624,-4.3921738800000005,2.5363941192626953,0.0003,40876,0.3682081997394562,40775,1
20577,0.003367670811712742,47.15,0.04447724670171738,628,-4.270081709999999,2.627267837524414,0.0003,41037,1.2458093166351318,40936,1
20605,0.0033880136907100677,46.65,0.02507000043988228,632,-4.197062699999999,2.401569366455078,0.0003,41196,-0.0855618491768837,41095,1
20636,0.0034081691410392523,46.81,0.055470630526542664,636,-4.261424829999999,2.6085355281829834,0.0003,41375,1.0669589042663574,41274,2
20665,0.0034097018651664257,46.31,0.09287560731172562,640,-4.224563949999999,2.4754178524017334,0.0003,41540,-0.6850177049636841,41439,2
20693,0.0034509424585849047,45.18,0.023627085611224174,644,-4.073483749999999,2.4890334606170654,0.0003,41700,0.6635904312133789,41599,2
20722,0.0034349586348980665,44.98,0.03113432228565216,648,-4.053258219999999,2.58543062210083,0.0003,41862,-1.3250010013580322,41761,2
20750,0.00346656097099185,45.0,0.026607031002640724,652,-4.036228260000001,2.5356359481811523,0.0003,42020,0.6800763607025146,41919,2
20779,0.0035103047266602516,45.06,0.025262903422117233,656,-4.0548244,2.473053216934204,0.0003,42184,-1.1814087629318237,42083,2
20808,0.003523753024637699,44.58,0.022861218079924583,660,-3.95328564,2.3764007091522217,0.0003,42347,-0.8494876027107239,42246,2
20837,0.0034971097484230995,44.04,0.06495149433612823,664,-3.8633778899999998,2.6289453506469727,0.0003,42509,-0.14829473197460175,42408,2
20869,0.003505646251142025,44.23,0.021347414702177048,668,-3.9020569800000002,2.6189804077148438,0.0003,42685,-0.3964517116546631,42584,2
20898,0.003531755181029439,44.3,0.019724126905202866,672,-3.90692361,2.4040870666503906,0.0003,42841,0.6358758211135864,42740,2
20940,0.003566725179553032,45.27,0.043963558971881866,676,-4.08291729,2.557163715362549,0.0003,43077,1.566867470741272,42976,2
20971,0.0035518475342541933,45.37,0.021280156448483467,680,-4.074789760000001,2.6161892414093018,0.0003,43252,-0.1271836757659912,43151,2
20998,0.003607409307733178,44.68,0.022668026387691498,684,-3.9689475399999994,2.481450080871582,0.0003,43396,-0.4556649625301361,43295,2
21027,0.0036226871889084578,44.17,0.016901839524507523,688,-3.92212536,2.4192686080932617,0.0003,43553,0.30521541833877563,43452,2
21053,0.0036539933644235134,43.67,0.03290222957730293,692,-3.8293519,2.625354766845703,0.0003,43701,0.024538472294807434,43600,2
21080,0.003686522366479039,42.85,0.030943723395466805,696,-3.6987241299999996,2.491471767425537,0.0003,43846,0.028665482997894287,43745,2
21110,0.0036803714465349913,43.16,0.019641607999801636,700,-3.75323712,2.5784010887145996,0.0003,44019,0.0876716673374176,43918,2
21139,0.0036394475027918816,42.66,0.01807384192943573,704,-3.7140277299999997,2.4176371097564697,0.0003,44182,-1.0222980976104736,44081,2
21179,0.003571887267753482,43.34,0.07828238606452942,708,-3.81760358,2.353039026260376,0.0003,44411,1.1730377674102783,44310,2
21209,0.0035616401582956314,42.86,0.030618874356150627,712,-3.7574780299999992,2.535938262939453,0.0003,44578,1.1026461124420166,44477,2
21238,0.0036207495722919703,42.3,0.04613979160785675,716,-3.660752069999999,2.4775824546813965,0.0003,44748,-0.5051218271255493,44647,2
21277,0.0036466096062213182,42.52,0.0212574265897274,720,-3.72479504,2.5278029441833496,0.0003,44979,1.2148114442825317,44878,2
21307,0.0036519761197268963,42.66,0.04457101598381996,724,-3.75420827,2.530080556869507,0.0003,45142,-0.7549178600311279,45041,2
21334,0.0036506513133645058,42.58,0.0281141959130764,728,-3.7412622499999997,2.445366859436035,0.0003,45295,0.3303743004798889,45194,2
21372,0.0036596846766769886,43.21,0.04905033856630325,732,-3.84311021,2.5354506969451904,0.0003,45517,0.4114519953727722,45416,2
21409,0.003666599979624152,43.56,0.03341440111398697,736,-3.8178914699999997,2.448906183242798,0.0003,45731,0.6007153391838074,45630,2
21434,0.003653434105217457,43.28,0.025388745591044426,740,-3.748265,2.426757574081421,0.0003,45868,0.9552720785140991,45767,2
21462,0.0036585889756679535,43.25,0.07671265304088593,744,-3.7332541,2.4409286975860596,0.0003,46025,-0.5971947312355042,45924,2
21498,0.003649199614301324,43.73,0.05565681681036949,748,-3.7818210399999996,2.522233247756958,0.0003,46235,-1.1391639709472656,46134,2
21524,0.0036000339314341545,43.62,0.10789287090301514,752,-3.7905383,2.485469102859497,0.0003,46382,0.4260912239551544,46281,2
21562,0.0035903328098356724,44.27,0.01645905338227749,756,-3.86854703,2.456477403640747,0.0003,46611,-0.007375191897153854,46510,2
21592,0.003623445751145482,44.34,0.0247208122164011,760,-3.8846245799999997,2.7031338214874268,0.0003,46781,-0.5856931209564209,46680,2
21640,0.003584974678233266,45.59,0.052073147147893906,764,-4.10221306,2.3448994159698486,0.0003,47068,0.2366521656513214,46967,2
21686,0.0035934345796704292,46.51,0.01539100706577301,768,-4.23599903,2.5016794204711914,0.0003,47336,-0.46480411291122437,47235,2
21715,0.0036273023579269648,46.65,0.035164911299943924,772,-4.271720650000001,2.467205762863159,0.0003,47506,1.343618392944336,47405,2
21742,0.0036485192831605673,45.81,0.03704417496919632,776,-4.15705415,2.4573068618774414,0.0003,47658,-1.0618470907211304,47557,2
21770,0.0036398882512003183,45.63,0.0441918782889843,780,-4.15110801,2.418095111846924,0.0003,47815,-0.3434826731681824,47714,2
21798,0.003584244754165411,45.85,0.05775558948516846,784,-4.20757961,2.4113779067993164,0.0003,47981,1.0462062358856201,47880,2
21829,0.0035995293874293566,46.05,0.02561536245048046,788,-4.2361874,2.559626340866089,0.0003,48158,0.8032804727554321,48057,2
21873,0.003670739009976387,47.27,0.022949974983930588,792,-4.4408724,2.532489776611328,0.0003,48428,-0.7196742296218872,48327,2
21908,0.0036885656882077456,47.91,0.01984400302171707,796,-4.5340977,2.525019645690918,0.0003,48637,-0.22733858227729797,48536,2
21939,0.003651163075119257,47.95,0.0569077804684639,800,-4.53587865,2.5439414978027344,0.0003,48814,1.175138235092163,48713,2
21969,0.003653909545391798,48.03,0.023287171497941017,804,-4.54555598,2.4667105674743652,0.0003,48985,-0.34315553307533264,48884,2
21997,0.0035633998923003674,47.35,0.027516666799783707,808,-4.4418854,2.5228488445281982,0.0003,49146,-0.19445320963859558,49045,2
22027,0.003564698388800025,47.46,0.02823765203356743,812,-4.4880453000000005,2.5461676120758057,0.0003,49324,-0.7551637887954712,49223,2
22057,0.0035578752867877483,47.43,0.043248459696769714,816,-4.492983390000001,2.3214335441589355,0.0003,49491,0.421173095703125,49390,2
22086,0.0035724833142012358,46.82,0.10872481763362885,820,-4.406041830000001,2.4609036445617676,0.0003,49661,0.8898414969444275,49560,2
22119,0.0035402749199420214,47.08,0.05640105530619621,824,-4.451520019999999,2.4226269721984863,0.0003,49850,-0.4025336802005768,49749,2
