Wall time,Step,Value
1747896237.5865152,37852,-24.443164825439453
1747896641.9693942,38252,-24.073835372924805
1747897046.5414495,38652,-24.091062545776367
1747897449.843956,39052,-23.959028244018555
1747897853.556024,39452,-23.975139617919922
1747898257.5381503,39852,-23.425172805786133
1747898544.5956206,40135,-22.675111770629883
1747898950.3679404,40535,-22.285146713256836
1747899339.5412455,40921,-22.135353088378906
1747899743.5478802,41321,-21.80961036682129
1747900091.530815,41665,-21.241104125976562
1747900497.8116684,42065,-21.041698455810547
1747900902.8360677,42465,-20.770532608032227
1747901107.722679,42865,-20.78640365600586
1747901172.3785737,43265,-20.341337203979492
1747901228.4136324,43597,-20.18123435974121
1747901293.179523,43997,-19.792339324951172
1747901358.5723732,44397,-19.813608169555664
1747901424.620446,44797,-19.675708770751953
1747901488.946176,45197,-19.585783004760742
1747901743.5340962,45538,-19.25978660583496
1747902148.7224512,45938,-18.85764503479004
1747902510.6022413,46296,-18.64920997619629
1747902861.48739,46643,-18.250497817993164
1747903265.7196069,47043,-18.004756927490234
1747903614.7821138,47389,-17.65835189819336
1747904018.9666972,47789,-17.37379264831543
1747904284.1660585,48166,-16.778594970703125
1747904355.750772,48566,-16.548294067382812
1747904412.423385,48885,-15.980979919433594
1747904469.7821753,49224,-15.82497501373291
1747904530.0512347,49556,-15.858397483825684
1747904589.732431,49888,-15.580390930175781
1747904656.2745187,50288,-15.455443382263184
1747904702.562023,50562,-15.351716041564941
1747904764.3651469,50934,-15.37707805633545
1747904833.6845968,51334,-15.399065017700195
1747904884.1214259,51626,-15.116408348083496
1747904935.6580777,51934,-14.922537803649902
1747904989.3491783,52252,-14.783224105834961
1747905046.8972766,52584,-14.671671867370605
1747905104.2422874,52918,-14.45322322845459
1747905170.527803,53318,-14.1273832321167
1747905217.7886405,53588,-13.782979965209961
1747905276.5546014,53936,-13.527937889099121
1747905339.2443364,54288,-13.415141105651855
1747905406.3233075,54688,-13.507601737976074
