Wall time,Step,Value
1744971025.7179973,360,-17.683156967163086
1744971099.1420496,705,-19.304370880126953
1744971154.8359845,1041,-17.691335678100586
1744971205.0541463,1343,-16.854591369628906
1744971254.2732756,1633,-15.920490264892578
1744971311.5218143,1973,-15.322175979614258
1744971367.2853909,2306,-14.853949546813965
1744971443.0502558,2706,-16.249013900756836
1744971860.6571715,3104,-16.58254623413086
1744972299.3376195,3504,-16.41178321838379
1744972371.8352692,3838,-16.336746215820312
1744972443.8868253,4176,-16.969114303588867
1744972529.281361,4576,-18.29094696044922
1744972603.6793873,4915,-18.57428550720215
1744972690.0504446,5315,-18.857643127441406
1744972776.4958196,5715,-19.359317779541016
1744972862.943058,6115,-19.779874801635742
1744972950.3393078,6515,-20.073856353759766
1744973023.8073373,6859,-20.1195011138916
1744973109.809574,7259,-20.216936111450195
1744973179.2825818,7584,-19.938745498657227
1744973360.674332,7944,-19.792898178100586
1744973865.5620959,8344,-20.151948928833008
1744974299.5645266,8687,-20.21931266784668
1744974788.5422513,9073,-20.238441467285156
1744975292.5613635,9473,-20.481388092041016
1744975797.5728378,9873,-20.584985733032227
1744976302.5720174,10273,-20.91849136352539
1744976742.305151,10620,-21.007007598876953
1744977247.4143956,11020,-21.442380905151367
1744977751.5718753,11420,-21.95853614807129
1744978205.5715206,11779,-22.230796813964844
1744978711.5031073,12179,-22.187650680541992
1744979185.5624423,12555,-22.193323135375977
1744979690.5656865,12955,-22.284812927246094
1744980163.8116581,13330,-22.649293899536133
1744980668.5716069,13730,-22.68716049194336
1744981073.0341167,14048,-21.843326568603516
1744981576.5613368,14448,-21.899499893188477
1744982007.8476706,14799,-21.739147186279297
1744982437.5207586,15185,-21.333316802978516
1744982866.7003975,15525,-20.843673706054688
1744983254.571211,15831,-20.36137580871582
1744983616.6851864,16116,-20.128543853759766
1744984121.406475,16516,-19.96961784362793
1744984547.3288555,16853,-19.763404846191406
1744984930.565151,17155,-19.54391098022461
1744985388.6366541,17518,-19.064729690551758
1744985893.397847,17918,-19.00894546508789
1744986260.4326677,18251,-18.672054290771484
1744986615.6040263,18603,-18.385662078857422
1744987019.570361,19003,-18.179000854492188
1744987423.5732348,19403,-18.02081298828125
1744987762.4803796,19737,-17.995372772216797
1744988167.1279306,20137,-17.752174377441406
1744988569.4618614,20536,-17.57042694091797
1744988909.667544,20873,-17.44699478149414
1744989268.5529044,21227,-16.901466369628906
1744989524.5280528,21479,-16.41813850402832
1744989908.5697527,21860,-16.311220169067383
1744990191.456632,22138,-15.758517265319824
1744990528.349298,22471,-15.26533317565918
1744990863.571418,22803,-15.171957015991211
1744991267.5731764,23203,-15.040087699890137
1744991554.3216963,23593,-14.902078628540039
1744991609.2894156,23925,-14.880816459655762
1744991658.877655,24226,-14.873966217041016
1744991715.1433022,24572,-15.009923934936523
1744991749.4260995,24776,-14.682157516479492
1744991808.1459064,25131,-14.589820861816406
1744991847.2868268,25360,-14.505022048950195
1744991896.8490086,25660,-14.46495246887207
1744991980.7868724,25960,-14.423434257507324
1744992324.61334,26299,-14.159283638000488
1744992728.070247,26699,-14.520873069763184
1744993008.5703478,26976,-14.351897239685059
1744993356.6403322,27320,-14.431872367858887
1744993659.9114637,27618,-14.155867576599121
1744994002.3770475,27957,-14.077104568481445
1744994298.808252,28250,-13.893675804138184
1744994573.5110104,28520,-13.568219184875488
1744994901.0698357,28850,-13.50541877746582
1744994968.1629515,29250,-13.663131713867188
1744995027.1088178,29541,-13.933218955993652
1744995069.9416716,29757,-13.642583847045898
1744995126.0135634,30052,-13.625208854675293
1744995178.926027,30358,-13.656839370727539
1744995237.4480443,30712,-13.759596824645996
1744995284.8097272,30992,-13.283014297485352
1744995329.8932798,31256,-13.142364501953125
1744995401.9376159,31656,-13.178169250488281
1744995455.706662,31937,-13.039531707763672
1744995519.9393244,32271,-13.02299690246582
1744995589.233192,32610,-13.223100662231445
1744995647.518771,32885,-12.939031600952148
1744995710.6165922,33162,-13.127908706665039
1744995791.787697,33496,-13.252894401550293
1744995859.0158725,33761,-13.10351848602295
1744995901.47801,33926,-12.73925495147705
1744995959.1866803,34194,-12.38900089263916
1744996036.5848882,34527,-12.612817764282227
1744996131.9474385,34867,-12.17454719543457
1744996197.4424024,35170,-12.125227928161621
1744996256.8732438,35456,-11.989261627197266
1744996315.5932846,35738,-11.864972114562988
1744996372.3154323,35981,-11.754672050476074
1744996443.2133653,36326,-11.71622371673584
1744996515.2235026,36674,-11.68342399597168
1744996561.8097773,36886,-11.374424934387207
1744996616.6385717,37134,-11.404430389404297
1744996684.2328718,37466,-11.385189056396484
1744996722.7809222,37631,-11.035228729248047
1744996766.1485643,37817,-10.724434852600098
1744996847.706306,38217,-10.977837562561035
1744996915.8314128,38512,-10.955374717712402
1744996984.9742548,38794,-10.638653755187988
1744997051.9073794,39128,-10.635953903198242
1744997128.622196,39505,-10.500723838806152
1744997190.9334888,39816,-10.421820640563965
1744997248.7164168,40100,-10.47156047821045
1744997309.2264402,40393,-10.341341972351074
1744997375.779543,40710,-10.482308387756348
1744997411.9862134,40870,-10.210957527160645
1744997470.1509473,41139,-10.439345359802246
1744997516.1714952,41354,-10.214096069335938
1744997574.8027225,41625,-9.90250015258789
1744997621.1348188,41840,-9.791667938232422
1744997679.6262121,42092,-9.716651916503906
1744997741.3730898,42368,-9.698942184448242
1744997791.736728,42581,-9.609620094299316
1744997861.7585425,42892,-9.816056251525879
1744997915.608365,43172,-9.626218795776367
1744997962.4597647,43422,-9.338595390319824
1744998016.4949248,43691,-9.458638191223145
1744998095.5140047,44091,-9.906852722167969
1744998149.428419,44355,-9.878732681274414
1744998210.6015017,44675,-10.136078834533691
1744998265.9515839,44953,-10.317915916442871
1744998322.450882,45236,-10.17123031616211
1744998392.854165,45574,-10.226310729980469
1744998442.5813115,45848,-10.249814987182617
1744998493.2791493,46115,-10.168343544006348
