Wall time,Step,Value
1744628017.875911,400,-28.40890121459961
1744628096.6968102,800,-27.941360473632812
1744628161.5087948,1200,-26.899620056152344
1744628227.7233682,1600,-25.084735870361328
1744628292.035011,2000,-24.380210876464844
1744628356.26475,2400,-23.944547653198242
1744628421.4317815,2800,-23.332956314086914
1744628477.1542652,3142,-22.39291763305664
1744628581.1242077,3542,-22.749759674072266
1744629086.8717215,3942,-22.49753189086914
1744629591.873711,4342,-22.783363342285156
1744630042.69919,4742,-22.533599853515625
1744630127.343023,5142,-22.14312171936035
1744630211.331011,5542,-21.65696144104004
1744630298.7765267,5915,-21.276086807250977
1744630384.3218021,6315,-20.964550018310547
1744630469.1798275,6715,-20.62064552307129
1744630542.1326776,7059,-20.259979248046875
1744630613.0168762,7393,-19.859716415405273
1744630697.3358564,7793,-19.642528533935547
1744631019.0118873,8193,-19.581357955932617
1744631462.1234355,8544,-19.24063491821289
1744631967.1227667,8944,-19.071369171142578
1744632453.1213043,9329,-18.83464813232422
1744632958.1135342,9729,-18.656423568725586
1744633379.1133766,10062,-18.00261688232422
1744633816.9283888,10407,-17.333049774169922
1744634321.1215897,10807,-17.064224243164062
1744634826.1153417,11207,-16.878355026245117
1744635273.119785,11561,-16.45890235900879
1744635778.9587643,11961,-16.11979866027832
1744636217.1213756,12308,-15.787522315979004
1744636722.8454452,12708,-15.652482032775879
1744637227.116856,13108,-15.21748161315918
1744637638.9729083,13433,-14.834548950195312
1744638108.9726157,13805,-14.302545547485352
1744638529.1213303,14138,-13.911175727844238
1744638957.886788,14476,-13.668641090393066
1744639384.8747735,14814,-13.45147705078125
1744639833.924291,15169,-13.267810821533203
1744640212.863115,15468,-12.995292663574219
1744640702.1132784,15856,-12.880722045898438
1744641131.1216638,16195,-12.719841003417969
1744641509.1218245,16494,-12.71721363067627
1744641866.865248,16775,-12.631723403930664
1744642337.1411357,17149,-12.470783233642578
1744642679.039738,17419,-12.248064041137695
1744642987.1121793,17662,-11.888294219970703
1744643337.1807055,17937,-11.708540916442871
1744643705.113459,18287,-11.595515251159668
1744644060.9772363,18638,-11.524699211120605
1744644256.1136284,18988,-11.492149353027344
1744644559.9523346,19312,-11.20713996887207
1744644616.1226938,19651,-10.994413375854492
1744644671.2733479,19990,-10.965414047241211
1744644713.4439843,20242,-10.705121994018555
1744644753.5035229,20484,-10.478179931640625
1744644808.5307875,20824,-10.367417335510254
1744644864.0018992,21166,-10.212624549865723
1744644904.5391178,21409,-10.043774604797363
1744644939.9333663,21620,-9.757375717163086
1744644986.7360141,21904,-9.709213256835938
1744645032.5394022,22180,-9.555082321166992
1744645086.4216273,22512,-9.5090913772583
1744645130.762033,22782,-9.349446296691895
1744645186.3667994,23124,-9.319977760314941
1744645224.261482,23352,-9.070178985595703
1744645268.9167023,23624,-8.97634220123291
1744645298.5927792,23793,-8.648070335388184
1744645341.774674,24054,-8.39553451538086
1744645385.5749686,24321,-8.104248046875
1744645433.6036484,24614,-8.168249130249023
1744645488.6186125,24951,-8.271817207336426
1744645529.8488696,25196,-8.192791938781738
1744645577.1368003,25486,-8.033589363098145
1744645622.3559184,25760,-7.8903679847717285
1744645658.5499873,25975,-7.70699405670166
1744645702.8696342,26243,-7.548176288604736
1744645748.8732653,26523,-7.496004581451416
1744645779.0233958,26693,-7.258177280426025
1744645811.0722158,26874,-7.147169589996338
1744645841.7032325,27048,-7.085140705108643
1744645872.9549363,27232,-6.870926856994629
1744645905.351449,27421,-6.621612548828125
1744645930.319299,27563,-6.474142551422119
1744645960.9809165,27738,-6.459630966186523
1744646015.3340473,27949,-6.306626319885254
1744646051.006643,28161,-6.20100736618042
1744646080.152779,28330,-6.00535249710083
1744646117.6374931,28550,-5.954579830169678
1744646154.0850208,28767,-5.803867340087891
1744646183.13931,28930,-5.697686672210693
1744646212.7534633,29100,-5.548152923583984
1744646242.0909832,29266,-5.522604465484619
1744646270.3532772,29425,-5.375528812408447
1744646321.0141473,29635,-5.283728122711182
1744646349.4176767,29795,-5.100493431091309
1744646383.5486321,29999,-4.919461250305176
1744646410.2297518,30151,-4.761918067932129
1744646437.5995853,30309,-4.584322452545166
1744646465.6553464,30466,-4.442906856536865
1744646491.9179816,30613,-4.33569860458374
1744646521.2517495,30782,-4.209378242492676
1744646560.5088458,31012,-4.116796016693115
1744646590.7416089,31187,-4.114802837371826
1744646618.2311156,31344,-4.080775737762451
