train/ent_coef_loss,train/learning_rate,train/ent_coef,time/episodes,time/total_timesteps,train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,time/fps,train/critic_loss,time/time_elapsed
-0.7292265892028809,0.0003,0.8498789668083191,4,662,23.42776870727539,165.5,-1795.4123925,561,5,10.04079818725586,131
-1.5806692838668823,0.0003,0.6195831894874573,8,1862,64.01023864746094,232.75,-2261.2102345000003,1761,5,917.7816162109375,326
-1.9659336805343628,0.0003,0.45960289239883423,12,3062,101.68096160888672,255.16666666666666,-2558.5673888333336,2961,5,16.031923294067383,517
-1.7851792573928833,0.0003,0.39862060546875,16,3704,121.87208557128906,231.5,-2337.0569726249996,3603,5,955.6353149414062,652
-1.4489713907241821,0.0003,0.36682960391044617,20,4125,141.47079467773438,206.25,-2074.0518452999995,4024,5,962.9735107421875,747
-1.1915019750595093,0.0003,0.31675946712493896,24,5044,159.65078735351562,210.16666666666666,-2023.1055050833336,4943,5,1798.28076171875,943
-0.9471877813339233,0.0003,0.29109105467796326,28,6244,192.22659301757812,223.0,-2081.8578838928574,6143,5,905.7479248046875,1197
-0.22867387533187866,0.0003,0.2791907787322998,32,6885,196.8357391357422,215.15625,-1944.412244,6784,5,2648.806396484375,1338
0.24373263120651245,0.0003,0.2767173945903778,36,7246,202.62123107910156,201.27777777777777,-1794.676584888889,7145,5,950.3651123046875,1421
-0.3375658392906189,0.0003,0.27709680795669556,40,8059,223.53201293945312,201.475,-1794.1734529500002,7958,5,936.7391967773438,1592
0.06888946145772934,0.0003,0.276737779378891,44,8340,221.127685546875,189.54545454545453,-1658.8666981590911,8239,5,68.06951141357422,1655
-0.035399504005908966,0.0003,0.27997031807899475,48,8857,231.55081176757812,184.52083333333334,-1592.6855444583332,8756,5,68.11897277832031,1768
0.2919061779975891,0.0003,0.2907402217388153,52,9341,244.06570434570312,179.6346153846154,-1517.8743330576922,9240,4,955.1536254882812,1871
-0.28594067692756653,0.0003,0.2986498773097992,56,9715,233.6156463623047,173.48214285714286,-1453.428773607143,9614,4,1882.1156005859375,1950
-0.03374285250902176,0.0003,0.3106352686882019,60,10081,240.97726440429688,168.01666666666668,-1388.3475421666665,9980,4,77.53263854980469,2032
-0.11249665915966034,0.0003,0.3251056373119354,64,10860,241.7474365234375,169.6875,-1365.861147609375,10759,4,136.12493896484375,2199
0.10419625788927078,0.0003,0.3070954978466034,68,11246,245.10939025878906,165.38235294117646,-1305.6080204411762,11145,4,96.27615356445312,2294
0.11460928618907928,0.0003,0.30720531940460205,72,11285,247.58798217773438,156.73611111111111,-1236.2622395555557,11184,4,148.88308715820312,2309
-0.003143252804875374,0.0003,0.30756163597106934,76,11337,244.7584228515625,149.17105263157896,-1173.617441986842,11236,4,78.11993408203125,2324
0.08314791321754456,0.0003,0.31288647651672363,80,11675,253.6953125,145.9375,-1136.930937725,11574,4,179.7833251953125,2399
-0.36578312516212463,0.0003,0.31012606620788574,84,11805,248.74559020996094,140.53571428571428,-1089.9310409761904,11704,4,1993.283447265625,2430
0.18122339248657227,0.0003,0.3087368607521057,88,11851,254.1140899658203,134.67045454545453,-1042.0055521818183,11750,4,96.79535675048828,2443
-0.06035932898521423,0.0003,0.3102283477783203,92,12258,252.06793212890625,133.2391304347826,-1025.5025850000002,12157,4,1198.911376953125,2532
-0.25237923860549927,0.0003,0.31152600049972534,96,12356,256.6883239746094,128.70833333333334,-988.3352901145832,12255,4,170.51748657226562,2558
0.2811009883880615,0.0003,0.31583455204963684,100,12719,251.3780517578125,127.19,-967.7573870399999,12618,4,972.9464111328125,2643
0.10212180018424988,0.0003,0.32037869095802307,104,12821,249.16461181640625,121.59,-900.6924382300001,12720,4,193.32977294921875,2676
-0.10452553629875183,0.0003,0.32894688844680786,108,13150,258.9961242675781,112.88,-805.1051436799999,13049,4,1851.93310546875,2756
-0.08614084124565125,0.0003,0.3295407295227051,112,13198,255.57366943359375,101.36,-680.5482799399999,13097,4,226.1825408935547,2770
0.05347022786736488,0.0003,0.3269180357456207,116,13306,258.5068359375,96.02,-618.78074269,13205,4,2796.705078125,2797
0.30284300446510315,0.0003,0.3278149366378784,120,13458,253.54579162597656,93.33,-585.0525149899998,13357,4,1945.17236328125,2837
0.09903253614902496,0.0003,0.331883043050766,124,13619,259.4621276855469,85.75,-519.999446,13518,4,250.34149169921875,2876
0.431546688079834,0.0003,0.33843719959259033,128,13754,259.4161376953125,75.1,-427.0901977000001,13653,4,2021.185546875,2908
0.3146681487560272,0.0003,0.34316378831863403,132,13822,248.77914428710938,69.37,-391.75597427,13721,4,646.9118041992188,2926
0.26096826791763306,0.0003,0.34846076369285583,136,13888,245.888916015625,66.42,-370.65050483000005,13787,4,1057.50390625,2944
0.06679876893758774,0.0003,0.3491668701171875,140,14169,257.0484619140625,61.1,-309.21888770999993,14068,4,1165.5927734375,3011
0.03105316311120987,0.0003,0.36549702286720276,144,14329,247.69305419921875,59.89,-302.21633048,14228,4,1178.8525390625,3059
-0.03325884789228439,0.0003,0.37182459235191345,148,14374,241.50790405273438,55.17,-269.23776210000005,14273,4,195.59010314941406,3083
0.039554983377456665,0.0003,0.3734825551509857,152,14403,260.5946044921875,50.62,-245.20514239999997,14302,4,1952.0611572265625,3097
-0.1575007438659668,0.0003,0.3812800347805023,156,14465,250.912841796875,47.5,-222.72537631,14364,4,132.004150390625,3123
0.27774912118911743,0.0003,0.4109227955341339,160,14758,255.56488037109375,46.77,-218.71347681,14657,4,383.4005126953125,3200
